GeoFips,GeoName,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4
49000,Utah,35496,35820,35534,37106,36095,36512,36772,36680,37494,37895,38288,38928,39899,40339,40590,40880,41358,41502,41825,42301,42575,43069,43697,44285,45226,45697,46240,46845
50000,Vermont,44761,45340,44900,46037,45270,45802,45847,46185,46416,47247,48054,48773,48455,48792,49039,49257,49474,49483,49735,49681,50314,50441,50865,51236,51641,52075,52373,52671
51000,Virginia,48837,49104,48996,50307,48546,48574,48479,48695,49470,50089,50578,51118,51598,52181,52498,52649,52750,52980,53367,53934,54355,54731,55159,55669,56078,56421,56970,57432
53000,Washington,46448,47105,47059,48638,47306,47600,48118,48293,49604,50471,51390,51976,52564,52966,53296,53384,54354,54566,54929,55800,56402,56852,57462,58327,59435,59703,60574,61010
54000,West Virginia,35240,35587,35265,35729,35270,35350,35272,35378,35806,36434,36798,37246,37349,37603,37528,37409,37199,37309,37371,37654,38681,38865,39338,39764,40324,40936,41771,42133
55000,Wisconsin,42489,42792,42547,43907,42637,43011,43203,43336,43798,44571,44915,45543,46007,46438,46745,46969,46902,47011,47400,47461,47999,48429,49103,49414,50224,50438,51050,51540
56000,Wyoming,53324,54362,53352,55920,53413,53543,53801,54571,56119,57503,58335,58867,58646,58007,57866,57055,55211,54646,54625,54992,55758,56868,57381,58260,59217,59958,60738,61369
91000,New England,54567,55149,54726,56444,54419,54748,54908,55212,55840,56606,57458,58446,58822,59482,59778,60409,60550,60978,61475,61565,62149,62779,63492,63996,64959,65422,66146,66441
92000,Mideast,50827,51249,51141,52604,51190,51646,51736,52053,52653,53218,53902,54505,55054,55581,55990,56113,56773,56985,57370,57894,58734,59328,59932,60842,61116,61676,62323,62596
93000,Great Lakes,41420,41842,41712,42911,42165,42483,42605,42783,43371,44033,44520,45086,45591,46031,46356,46644,46627,46812,47007,47384,47778,48167,48583,49085,49833,50269,50725,51172
94000,Plains,44100,44581,44190,45602,44598,44901,45058,45046,45522,46424,46895,47333,47582,47686,47932,48042,47874,47939,48270,48458,48939,49177,49322,49985,50534,51154,51550,52419
95000,Southeast,39304,39627,39460,40505,39393,39522,39649,39814,40588,41251,41716,42216,42703,43073,43337,43521,43558,43725,44058,44460,45123,45532,45897,46433,46948,47361,47886,48316
96000,Southwest,41815,42180,41885,43214,42323,42832,43080,43359,44461,45156,45630,45932,45856,45562,45482,45237,44670,44696,45002,45390,46361,46945,47551,48229,49047,49485,50098,50564
97000,Rocky Mountain,41054,41455,41197,42940,42110,42628,42958,43243,44328,45077,45556,46205,46839,47016,47051,47027,46906,47026,47391,47855,48548,49199,49791,50572,51321,51878,52517,53165
98000,Far West,46092,46574,46454,48538,46497,47083,47470,47978,48718,49567,50489,51131,52197,52846,53240,53614,54209,54463,55013,55488,56077,56660,57254,57993,58593,59288,60066,60582
